# 연표 — PLAN.md §3.2·§5 8단계에서 채운다(≥ 220행, 1849 → 2026-09). 위키백과 주소는 출처가 아니다.
date	event(ko)	kind	source	verified-how
1849-07-15	베네치아를 포위한 오스트리아군이 증기선 불카노 갑판에서 시한 신관 폭탄을 매단 무인 풍선 두 개를 띄움 — 사람 없는 비행체를 무기로 쓴 첫 기록으로 꼽힘	military	airminded-venice-1849	fetched 2026-09-25 — 1849-08-29 Morning Chronicle 인용 'July the 15th … two balloons … from the deck of the Volcano'; history.com 은 8월 22일로 적어 날짜가 엇갈림(claims/p02.md)
1849-08-22	베네치아(산마르코 공화국)가 오스트리아에 항복 — 풍선 공격이 있었던 포위전이 끝남	military	airminded-venice-1849	fetched 2026-09-25 — 'On 22 August 1849, the Republic of San Marco surrendered to Austria'
1898	테슬라가 매디슨 스퀘어 가든 제1회 전기 박람회에서 전파로 조종하는 배 모형을 공개 시연	hobby	tesla-museum-boat	fetched 2026-09-25 — 'presented at the first Electrical Exhibition at Madison Square Garden, New York, in 1898'
1898-07-01	니콜라 테슬라가 움직이는 배·차량의 기구를 원격으로 제어하는 방법과 장치 특허(US 613,809)를 출원	hobby	tesla-museum-boat	fetched 2026-09-25 — 'No. 613,809, was submitted by Tesla on July 1, 1898'
1898-11-08	테슬라의 원격 제어 특허 US 613,809 등록	hobby	tesla-museum-boat	fetched 2026-09-25 — 'approved by the US Patent Office on November 8 the same year'
1899	테슬라가 시카고 강연에서 잠수 기능을 더한 개량형 원격 조종 배를 선보임	hobby	tesla-museum-boat	fetched 2026-09-25 — 'an improved version of the ship, with diving capabilities, at a lecture he held in Chicago in 1899'
1907-09-29	브레게-리셰 자이로플레인 1호가 사람을 태우고 0.6 m 떠오름 — 네 개의 회전날개 묶음을 가진 첫 멀티로터(쿼드콥터) 비행으로 기록됨	multirotor	vfs-breguet-1907	fetched 2026-09-25 — VFS 이정표 'Sunday, September 29, 1907 - Douai', 'first multi-rotor rotorcraft (a quadcopter)'
1911	미 해군이 자이로스코프 발명가 엘머 스페리와 무인 비행기용 시스템 개발 계약	military	https://www.navy.mil/DesktopModules/ArticleCS/Print.aspx?PortalId=1&ModuleId=523&Article=3328115	fetched 2026-09-25 (curl; fetch_docs 는 403) — 'In 1911, the Navy contracted Elmer Sperry'
1917-03	영국의 무선 조종 표적기 '에어리얼 타깃' 첫 시험 — IWM 은 조종된 채 날아간 첫 드론으로 소개	military	iwm-drones-history	fetched 2026-09-25 — 'first tested in March 1917', 'the first drone to fly under control'
1917-09	미 해군 '공중 어뢰' 휴잇-스페리 자동 비행기 비행	military	https://www.navy.mil/DesktopModules/ArticleCS/Print.aspx?PortalId=1&ModuleId=523&Article=3328115	fetched 2026-09-25 (curl; fetch_docs 는 403) — 'In September 1917 … the Hewitt-Sperry Automatic Airplane … took flight'
1918	사출대에 올린 휴잇-스페리 자동 비행기가 100야드를 날고 추락, 설계가 중단됨(NASM 사진 설명)	military	nasm-hewitt-sperry	fetched 2026-09-25 — 'sits on its launch catapult in 1918. The aircraft crashed after flying only 100 yards'
1918-04-02	무인·계류 관측 헬리콥터 PKZ 2 첫 비행	military	vfs-pkz2-1918	fetched 2026-09-25 — 'First flight of the PKZ 2 unmanned/Tethered Observation Helicopter, Tuesday, April 2, 1918'
1918-10	미 육군 공중 어뢰 '케터링 버그' 첫 비행 — 전쟁 중 실전에는 쓰이지 않음	military	iwm-drones-history	fetched 2026-09-25 — 'the Kettering Bug first flew in October 1918 … neither were used operationally'
1922-12-18	드 보테자 헬리콥터(회전날개 4개) 첫 비행 — 1분 42초 동안 약 6 ft 높이	multirotor	vfs-bothezat-1922;vfs-bothezat-aircraft	fetched 2026-09-25 — 'Monday, December 18, 1922 - McCook Field', 'Lift devices: 4 in Multi-rotor configuration'
1935	영국이 표적 훈련용 무선 조종기 DH.82B 퀸 비를 여러 대 제작 — '드론'이라는 말이 이 이름에서 나왔다고 여겨짐	military	iwm-drones-history	fetched 2026-09-25 — 'It's thought the term drone started to be used at this time, inspired by … the DH.82B Queen Bee'
1935	레지널드 데니가 첫 무선 조종 표적기 RP-1 을 미 육군에 시연(시연 중 추락)	military	ma-denny-targets	fetched 2026-09-25 — 'Denny demonstrated the first RC target drone, RP-1, for the U.S. Army at Fort McArthur, California, in 1935'
1936	미국 모형항공협회(AMA) 창립	hobby	https://www.amaflightschool.org/academy-model-aeronautics-was-founded-1936	fetched 2026-09-25 — AMA Flight School 'The Academy of Model Aeronautics was founded in 1936'
1938	쌍둥이 형제 월터·빌 굿의 무선 조종 모형기 Big Guff — 처음으로 성공한 RC 비행기로 꼽힘	hobby	man-big-guff;ma-rc-history	fetched 2026-09-25 — 'built and flown by twin brothers Walter and Bill Good in 1938'; 한 검색 요약은 1937 Nats 로 적어 엇갈림(claims/p02.md)
1938	레오 와이스의 8채널 톤-리드 방식 무선 조종 장치가 처음 소개됨	hobby	ma-rc-history	fetched 2026-09-25 — 'As early as 1938, Leo Weiss was recognized as describing the first tone reed system'
1940	굿 형제가 RC 부문 전국 대회(Nats)를 1938·1939·1940년 연속 우승	hobby	ma-rc-history	fetched 2026-09-25 — 'The pair won the RC Nats in 1938, 1939, and 1940'
