ISORPG-PAL 1 256
0 0 0 0
1 0 0 42
2 0 42 0
3 0 42 42
4 42 0 0
5 42 0 42
6 42 21 0
7 42 42 42
8 21 21 21
9 21 21 63
10 21 63 21
11 21 63 63
12 63 21 21
13 63 21 63
14 63 63 21
15 63 63 63
16 0 2 14
17 1 5 17
18 2 7 21
19 4 10 24
20 5 12 27
21 6 15 30
22 7 17 34
23 8 20 37
24 10 22 40
25 11 25 43
26 12 27 47
27 13 30 50
28 14 32 53
29 16 35 56
30 17 37 60
31 18 40 63
32 22 16 6
33 25 19 8
34 27 22 10
35 30 24 12
36 33 27 13
37 36 30 15
38 38 33 17
39 41 36 19
40 44 38 21
41 47 41 23
42 49 44 25
43 52 47 27
44 55 50 28
45 58 52 30
46 60 55 32
47 63 58 34
48 4 14 4
49 6 17 6
50 8 20 7
51 10 23 9
52 12 26 10
53 14 29 12
54 16 32 14
55 18 35 15
56 20 39 17
57 22 42 18
58 24 45 20
59 26 48 22
60 28 51 23
61 30 54 25
62 32 57 26
63 34 60 28
64 14 9 4
65 16 11 5
66 19 13 6
67 21 14 8
68 23 16 9
69 25 18 10
70 28 20 11
71 30 22 12
72 32 23 14
73 34 25 15
74 37 27 16
75 39 29 17
76 41 31 18
77 43 32 20
78 46 34 21
79 48 36 22
80 10 10 12
81 13 13 15
82 16 16 18
83 18 18 21
84 21 21 24
85 24 24 27
86 27 27 30
87 30 30 33
88 32 32 35
89 35 35 38
90 38 38 41
91 41 41 44
92 44 44 47
93 46 46 50
94 49 49 53
95 52 52 56
96 2 9 3
97 3 11 4
98 4 14 5
99 6 16 6
100 7 18 7
101 8 21 8
102 9 23 9
103 10 25 10
104 12 28 11
105 13 30 12
106 14 32 13
107 15 35 14
108 16 37 15
109 18 39 16
110 19 42 17
111 20 44 18
112 21 14 6
113 23 16 7
114 26 18 9
115 28 20 10
116 31 22 11
117 33 24 12
118 36 26 14
119 38 28 15
120 41 31 16
121 43 33 17
122 46 35 19
123 48 37 20
124 51 39 21
125 53 41 22
126 56 43 24
127 58 45 25
128 10 10 13
129 12 12 16
130 15 15 18
131 17 17 21
132 19 19 23
133 21 21 26
134 24 24 29
135 26 26 31
136 28 28 34
137 30 30 36
138 33 33 39
139 35 35 42
140 37 37 44
141 39 39 47
142 42 42 49
143 44 44 52
144 15 13 11
145 17 15 13
146 20 18 15
147 22 20 17
148 25 22 19
149 27 25 21
150 30 27 23
151 32 29 25
152 35 32 28
153 37 34 30
154 40 36 32
155 42 39 34
156 45 41 36
157 47 43 38
158 50 46 40
159 52 48 42
160 12 7 2
161 14 8 3
162 16 10 3
163 18 11 4
164 21 13 5
165 23 14 5
166 25 15 6
167 27 17 7
168 29 18 7
169 31 20 8
170 33 21 9
171 35 22 9
172 38 24 10
173 40 25 11
174 42 27 11
175 44 28 12
176 24 26 32
177 26 28 34
178 29 31 36
179 31 33 38
180 34 36 40
181 36 38 42
182 38 40 44
183 41 43 46
184 43 45 49
185 46 48 51
186 48 50 53
187 50 52 55
188 53 55 57
189 55 57 59
190 58 60 61
191 60 62 63
192 6 10 6
193 7 12 7
194 9 14 8
195 10 16 10
196 11 17 11
197 13 19 12
198 14 21 13
199 15 23 14
200 17 25 16
201 18 27 17
202 19 29 18
203 21 31 19
204 22 32 20
205 23 34 22
206 25 36 23
207 26 38 24
208 20 2 0
209 23 5 1
210 26 8 1
211 29 10 2
212 31 13 2
213 34 16 3
214 37 19 3
215 40 22 4
216 43 24 4
217 46 27 5
218 49 30 5
219 52 33 6
220 54 36 6
221 57 38 7
222 60 41 7
223 63 44 8
224 18 10 6
225 21 12 8
226 24 15 10
227 27 17 12
228 30 20 14
229 33 22 16
230 36 24 18
231 39 27 20
232 42 29 22
233 45 32 24
234 48 34 26
235 51 36 28
236 54 39 30
237 57 41 32
238 60 44 34
239 63 46 36
240 10 2 6
241 13 3 7
242 16 4 9
243 20 6 10
244 23 7 12
245 26 8 13
246 29 9 15
247 32 10 16
248 36 12 18
249 39 13 19
250 42 14 21
251 45 15 22
252 48 16 24
253 52 18 25
254 55 19 27
255 58 20 28
